시설명,총객석수,시(도),구(군),주소
힘의집,0,서울,마포구,서울특별시 마포구 신촌로20길 12 (노고산동)
히브루스홀,0,서울,마포구,서울특별시 마포구 서강로 144(노고산동)
히브루스,150,서울,마포구,서울특별시 마포구 서강로 144 (노고산동)
홍대팝업 스팟,0,서울,마포구,서울특별시 마포구 와우산로37길 30 (동교동)
홍대우주정거장,0,서울,마포구,서울특별시 마포구 와우산로29길 16(서교동)
홍대난타극장(구. 뮤직쇼웨딩 전용관),323,서울,마포구,서울특별시 마포구 양화로16길 29 (서교동)
홍대BENDER,0,서울,마포구,서울특별시 마포구 와우산로14길 4 (상수동)
홍대 카페 (구.홍대카페),650,서울,마포구,서울특별시 마포구 어울마당로 68 (서교동)
홍대 씨어터 윤,100,서울,마포구,서울특별시 마포구 와우산로 147-1 (서교동)
홍대 the STUMP(더 스텀프),150,서울,마포구,서울특별시 마포구 와우산로21길 20-11 (서교동)
홍대 stay.round.GEE,0,서울,마포구,서울특별시 마포구 양화로 100-10(서교동)
홍대 LC TOWER,0,서울,마포구,서울특별시 마포구 양화로 186 (동교동)
해돌라운지루프탑,80,서울,마포구,서울특별시 마포구 잔다리로3안길 31 (서교동) 해돌라운지루프탑
하나투어 브이홀,270,서울,마포구,서울특별시 마포구 홍익로 25 (서교동)
피아니스트의 방,30,서울,마포구,서울특별시 마포구 연남로 42 (연남동)
플렉스홀 3호점,0,서울,마포구,서울특별시 마포구 독막로 68 (상수동)
"플렉스라운지 (구. 스테이라운지, 구. 인디팍)",150,서울,마포구,서울특별시 마포구 양화로 100-10 (서교동)
플레이스디,100,서울,마포구,서울특별시 마포구 월드컵북로 1길 26-9 (서교동)
플레이스 막(PALCE MAK)1,27,서울,마포구,서울특별시 마포구 성미산로 198 (연남동)
플라스틱 파크,0,서울,마포구,서울특별시 마포구 와우산로33길 27 (서교동)
프리즘홀 (프리즘플러스),120,서울,마포구,서울특별시 마포구 양화로12길 6 (서교동)
폼텍웍스홀,100,서울,마포구,서울특별시 마포구 잔다리로3길 34 (서교동)
포크라노스,0,서울,마포구,서울특별시 마포구 와우산로33길 27 (서교동) 1층
포스트극장,200,서울,마포구,서울특별시 마포구 와우산로 148 (창전동)
퍼즐인형극장 다락극장,30,서울,마포구,서울특별시 마포구 독막로6길 27 (합정동)
틸라 그라운드,0,서울,마포구,서울특별시 마포구 토정로9길 2 (상수동)
트레이프조이드,0,서울,마포구,서울특별시 마포구 동교로 137(서교동)
톤스튜디오 서울,39,서울,마포구,서울특별시 마포구 성미산로 64-5 (성산동)
토마토홀,180,서울,마포구,서울특별시 마포구 양화진4길 32 (합정동)
텐더리커피앤디저트,0,서울,마포구,서울특별시 마포구 성미산로29길 35(연남동)
탈영역우정국,80,서울,마포구,서울특별시 마포구 독막로20길 42 (창전동) 
클럽온에어,0,서울,마포구,서울특별시 마포구 잔다리로 44(서교동)
클럽블랙홀(Blackhall) [홍대],0,서울,마포구,서울특별시 마포구 잔다리로 19-6 (서교동)
클럽 프리버드,0,서울,마포구,서울특별시 마포구 와우산로17길 19-22(서교동)
클럽 템플,0,서울,마포구,서울특별시 마포구 와우산로 147-1 (서교동)
클럽 일마레,0,서울,마포구,서울특별시 마포구 포은로 75 (망원동)
클럽 스틸페이스,1500,서울,마포구,서울특별시 마포구 잔다리로 10 (서교동)
클럽 샤프,100,서울,마포구,서울특별시 마포구 동교로 63 (망원동)
클럽 블랙 [홍대],0,서울,마포구,서울특별시 마포구 와우산로 70 (서교동)
클럽 벨류(Value),0,서울,마포구,서울특별시 마포구 잔다리로 6(서교동)
클럽 버뮤다,0,서울,마포구,서울특별시 마포구 와우산로 70 (서교동)
클럽 매드홀릭(MADHOLIC),0,서울,마포구,서울특별시 마포구 잔다리로 21 (서교동)
클럽 마스 CLUB MARS,0,서울,마포구,서울특별시 마포구 와우산로 76-1 (서교동)
클럽 레몬,0,서울,마포구,서울특별시 마포구 와우산로 77 (서교동)
클럽 MODECi(모데시),0,서울,마포구,서울특별시 마포구 와우산로 64 (상수동)
클럽 FF,130,서울,마포구,서울특별시 마포구 와우산로17길 12 (서교동)
클럽 A.O.R(All Of Rock),70,서울,마포구,서울특별시 마포구 와우산로 156 (서교동)
퀀텀앤플레이,13,서울,마포구,서울특별시 마포구 동교로 142-10 (서교동)
콘서트홀 나누,50,서울,마포구,서울특별시 마포구 망원로 66 (망원동)
케이아트 디딤홀,120,서울,마포구,서울특별시 마포구 와우산로18길 30 (서교동) 지층
컨벤트펍 (The convent Live Pub),0,서울,마포구,서울특별시 마포구 와우산로17길 19-22 (서교동)
카페쇼파르,0,서울,마포구,서울특별시 마포구 독막로6길 15 (합정동)
카페부부,0,서울,마포구,서울특별시 마포구 월드컵로15길 27 (망원동)
카페린덴,0,서울,마포구,서울특별시 마포구 월드컵로23길 82-3(망원동)
카페 언플러그드,60,서울,마포구,서울특별시 마포구 와우산로33길 26 (서교동)
카페 야카모즈,0,서울,마포구,서울특별시 마포구 월드컵북로 88 (성산동)
카세트 스튜디오,8,서울,마포구,서울특별시 마포구 성미산로 52 (성산동)
취향관 (폐관),30,서울,마포구,서울특별시 마포구 월드컵로5길 20 (합정동)
청춘예찬,85,서울,마포구,서울특별시 마포구 신촌로2안길 30 (동교동)
책방 곱셈,0,서울,마포구,서울특별시 마포구 성미산로29길 33(연남동)
채널 1969,150,서울,마포구,서울특별시 마포구 연희로 35 (연남동)
지블레싱소극장,40,서울,마포구,서울특별시 마포구 신촌로14길 24(노고산동)
제일라아트홀,250,서울,마포구,서울특별시 마포구 월드컵북로 323 (상암동)
제이엘 씨어터,130,서울,마포구,서울특별시 마포구 어울마당로 94-8(서교동)
제로베이스커피,50,서울,마포구,서울특별시 마포구 와우산로17길 19-22 (서교동)
정태호소극장 comedy maker,100,서울,마포구,서울특별시 마포구 어울마당로 94-8 (서교동)
재즈다,0,서울,마포구,서울특별시 마포구 양화로6길 19 (서교동)
재머스(JAMMERS),0,서울,마포구,서울특별시 마포구 와우산로 120(창전동)
이행성극장,30,서울,마포구,서울특별시 마포구 동교로9길 83 (망원동)
이원아트홀,150,서울,마포구,서울특별시 마포구 마포대로 12 (마포동)
이웃집마녀,10,서울,마포구,서울특별시 마포구 동교로34길 6 (연남동)
이너프 라운지,30,서울,마포구,서울특별시 마포구 토정로17길 11 (신수동)
음악서점 라이너노트,30,서울,마포구,서울특별시 마포구 양화로15안길 6 (서교동)
유주얼하우스,25,서울,마포구,서울특별시 마포구 양화로7길 48 (서교동)
웨스트브릿지 라이브홀,160,서울,마포구,서울특별시 마포구 와우산로25길 6 (서교동)
원픽뮤직,0,서울,마포구,서울특별시 마포구 신촌로20길 22 (노고산동)
요기가 널판,0,서울,마포구,서울특별시 마포구 연남로13길 9(연남동)
와우산로 90,0,서울,마포구,서울특별시 마포구 와우산로 90 (서교동)
온맘씨어터,100,서울,마포구,서울특별시 마포구 어울마당로 94-8 (서교동)
옥타바리움 라이브홀,70,서울,마포구,서울특별시 마포구 와우산로18길 16 (서교동)
"오아스페이스(구, 스페이스 홍)",100,서울,마포구,서울특별시 마포구 동교로 144 (서교동)
오닉스 홍대,0,서울,마포구,서울특별시 마포구 와우산로 63 (서교동)
예술공간도화,0,서울,마포구,서울특별시 마포구 잔다리로 113 (서교동)
연남스페이스,280,서울,마포구,서울특별시 마포구 성미산로22길 16(연남동)
연남5701,0,서울,마포구,서울특별시 마포구 동교로23길 64 (연남동)
엠피엠지,30,서울,마포구,서울특별시 마포구 서강로 78 (창전동)
엘리펀트스페이스,40,서울,마포구,서울특별시 마포구 성미산로29길 30 (연남동)
엘라의 거실,0,서울,마포구,서울특별시 마포구 독막로19길 30 (상수동)
엔터 스튜디오,0,서울,마포구,서울특별시 마포구 독막로8길 30(합정동)
엔써뮤직,10,서울,마포구,서울특별시 마포구 독막로6길 5(합정동)
에피소드 신촌 369,0,서울,마포구,서울특별시 마포구 신촌로16길 29(노고산동)
얼라이브홀(구. 크랙홀),200,서울,마포구,서울특별시 마포구 독막로7길 20 (서교동) 지하1층
언플러그드 서교,50,서울,마포구,서울특별시 마포구 와우산로29길 15 (서교동)
언제라도 여행,0,서울,마포구,서울특별시 마포구 잔다리로 65(서교동)
언더독 뮤지엄,0,서울,마포구,서울특별시 마포구 양화로12길 8-7 (서교동)
얘기아트씨어터,80,서울,마포구,서울특별시 마포구 고산길 30 (노고산동)
얀씨클럽(Yancey Club),30,서울,마포구,서울특별시 마포구 독막로 140 (창전동)
앤트러사이트 [합정],0,서울,마포구,서울특별시 마포구 토정로5길 10 (합정동)
앤트러사이트 [서교],0,서울,마포구,서울특별시 마포구 월드컵로12길 11 (서교동)
애프터눈레코드,0,서울,마포구,서울특별시 마포구 동교로38안길 21 (연남동)
아프리카 콜로세움,800,서울,마포구,서울특별시 마포구 매봉산로 31(상암동)
아틀리에홀,0,서울,마포구,서울특별시 마포구 독막로19길 46 (상수동)
아일랜드이너프 연남점,30,서울,마포구,서울특별시 마포구 연남로 97(연남동)
아이디어스 크래프트하우스,30,서울,마포구,서울특별시 마포구 홍익로5길 31 (서교동)
아이돌스토어홀,0,서울,마포구,서울특별시 마포구 와우산로29다길 20 (서교동)
아이다호,50,서울,마포구,서울특별시 마포구 동교로 39 (망원동)
아만티호텔,0,서울,마포구,서울특별시 마포구 월드컵북로 31(서교동)
아르떼홀,180,서울,마포구,서울특별시 마포구 양화진4길 32 - 0 (주)이토마토
아로아로홀,0,서울,마포구,서울특별시 마포구 월드컵로 41-1 (합정동)
신한카드 SOL페이 스퀘어(구.신한pLay 스퀘어),720,서울,마포구,"서울특별시 마포구 양화로 45 (서교동, 메세나폴리스)"
시립마포청소년센터,180,서울,마포구,서울특별시 마포구 월드컵로 212 (성산동)
스페이스한강,50,서울,마포구,서울특별시 마포구 와우산로 128(창전동)
스페이스브릭 (SPACE BRICK),60,서울,마포구,서울특별시 마포구 잔다리로 31(서교동)
스페이스 청,80,서울,마포구,서울특별시 마포구 신촌로 170 (대흥동) 1층
스트레인지 프룻,0,서울,마포구,서울특별시 마포구 와우산로29길 64 (서교동)
스튜디오 에픽,0,서울,마포구,서울특별시 마포구 독막로2길 31 (합정동)
스튜디오 별감,0,서울,마포구,서울특별시 마포구 월드컵로5길 20 (합정동)
스튜디오 반사,20,서울,마포구,서울특별시 마포구 동교로8안길 31 (합정동)
스튜디오 까에,100,서울,마포구,서울특별시 마포구 잔다리로 112 (서교동)
스타카페 라부에노,0,서울,마포구,서울특별시 마포구 독막로19길 15 (상수동)
스윙홀,0,서울,마포구,서울특별시 마포구 동교로 162-5 (서교동)
스와뉴 스튜디오,0,서울,마포구,서울특별시 마포구 월드컵로25길 69(망원동)
수상한거리 워십센터,80,서울,마포구,서울특별시 마포구 홍익로5길 43 (서교동)
수상한거리 2호점,80,서울,마포구,서울특별시 마포구 양화로16길 26 (서교동)
쇼킹 케이팝 센터 (ShowKing K-POP Center),0,서울,마포구,서울특별시 마포구 월드컵북로54길 25 (상암동)
소슴당인,0,서울,마포구,서울특별시 마포구 토정로4길 40-4 (합정동)
세티 라이브홀 (SETI LIVE HALL),0,서울,마포구,서울특별시 마포구 와우산로21길 31 (서교동)
세븐파이프홀,71,서울,마포구,서울특별시 강남구 논현로168길 39
성미산마을극장 향,101,서울,마포구,서울특별시 마포구 월드컵로26길 39 (성산동)
서진교회,450,서울,마포구,서울특별시 마포구 월드컵북로43길 37 (상암동)
서울월드컵경기장,66704,서울,마포구,서울특별시 마포구 월드컵로 240(성산동)
서울시산악문화체험센터,70,서울,마포구,서울특별시 마포구 하늘공원로 112(상암동)
서울생활문화센터 서교,162,서울,마포구,서울특별시 마포구 양화로 72(서교동)
서울마포음악창작소(구.뮤지스땅스),50,서울,마포구,서울특별시 마포구 마포대로 238 (아현동) 지하
서보미술문화공간 [서울],0,서울,마포구,서울특별시 마포구 월드컵북로12안길 3 (성산동)
서교스퀘어,0,서울,마포구,"서울특별시 마포구 양화로 72 (서교동, 서교동 효성 해링턴 타워)"
서강대 메리홀,528,서울,마포구,서울특별시 마포구 백범로 35 서강대학교
생츄어리(sanctuary),0,서울,마포구,서울특별시 마포구 월드컵북로 65(성산동)
생기 스튜디오,70,서울,마포구,서울특별시 마포구 와우산로 137 (서교동)
상암월드컵공원,200,서울,마포구,서울특별시 마포구 하늘공원로 108-1 (상암동) 
상설무대 우리소리소극장,100,서울,마포구,서울특별시 마포구 월드컵북로5가길 8-7 (서교동)
살롱 문보우,80,서울,마포구,서울특별시 마포구 잔다리로 113 (서교동)
살라1,0,서울,마포구,서울특별시 마포구 동교로 47 (망원동)
산울림소극장,72,서울,마포구,서울특별시 마포구 와우산로 157 (서교동)
산성교회,400,서울,마포구,서울특별시 마포구 마포대로 197-3 (아현동) 
사이드노트클럽(Side Note Club),0,서울,마포구,서울특별시 마포구 양화로 130 (서교동) 15층
사유집,0,서울,마포구,서울특별시 마포구 성미산로29길 24(연남동)
사랑하니까 이야기다,25,서울,마포구,서울특별시 마포구 동교로 240 (연남동)서울특별시 마포구 연남동  260-28 계림빌딩
빠리살롱,0,서울,마포구,서울특별시 마포구 토정로 12-7 (합정동)
비플러스엠,0,서울,마포구,서울특별시 마포구 마포대로16길 7-14 (아현동)
블루프린트,0,서울,마포구,서울특별시 마포구 독막로 67 (상수동)
블루라이트 라이브 홀,100,서울,마포구,서울특별시 마포구 어울마당로 94-8 (서교동)
불과얼음 뮤지컬 워크숍극장,80,서울,마포구,서울특별시 마포구 포은로 14 (합정동) 수성빌딩 B102호
복합문화공간 누룸,35,서울,마포구,서울특별시 마포구 동교로 181-6 (동교동)
별빛소극장,110,서울,마포구,서울특별시 마포구 와우산로 117 (서교동)
벨로주 [홍대] (구. 왓에버),123,서울,마포구,서울특별시 마포구 잔다리로 46 (서교동)
벨로주 [망원],65,서울,마포구,서울특별시 마포구 포은로 117 (망원동) 
베짱이홀,200,서울,마포구,서울특별시 마포구 독막로15길 3-12 (상수동)
박정희대통령기념재단,0,서울,마포구,서울특별시 마포구 월드컵로 386 (상암동)
문화비축기지,11180,서울,마포구,서울특별시 마포구 증산로 87 (성산동)
문화공간너나들이,50,서울,마포구,서울특별시 마포구 만리재로 123 (공덕동)
문악HOM,20,서울,마포구,서울특별시 마포구 양화로15안길 6 (서교동)
문릿아워,0,서울,마포구,서울특별시 마포구 와우산로11길 9-8 (상수동)
무신사 개러지 (구. 왓챠홀),144,서울,마포구,서울특별시 마포구 잔다리로 32(서교동)
무브홀,400,서울,마포구,서울특별시 마포구 잔다리로 32 (서교동)
무대륙,150,서울,마포구,서울특별시 마포구 토정로5길 12 (합정동)
몸소리말조아라 센터,0,서울,마포구,서울특별시 마포구 토정로15길 10-8 (신수동)
메타코미디클럽,10,서울,마포구,서울특별시 마포구 와우산로 76-1 (서교동)
맥거핀 서교,0,서울,마포구,서울특별시 마포구 양화로7길 28(서교동)
매직스트로베리사운드,30,서울,마포구,서울특별시 마포구 와우산로29길 13
마포중앙도서관,396,서울,마포구,서울특별시 마포구 성산로 128 (성산동)
마포음악창작소,50,서울,마포구,서울특별시 마포구 마포대로 지하238(아현동)
마포아트센터,1325,서울,마포구,서울특별시 마포구 대흥로20길 28 (대흥동)
마포구청,486,서울,마포구,서울특별시 마포구 월드컵로 212 (성산동)
마주 MAJU,0,서울,마포구,"서울특별시 마포구 동교로19길 102 (성산동, 엔트라움마포)"
마익스 케빈,0,서울,마포구,서울특별시 마포구 어울마당로 94-13 (서교동)
마운드미디어 스튜디오,50,서울,마포구,서울특별시 마포구 와우산로29길 20 (서교동)
마우디 스튜디오,0,서울,마포구,서울특별시 마포구 토정로 241 (신수동)
루프탑 투게더,0,서울,마포구,서울특별시 마포구 양화로21길 31 (동교동)
루끄 LOOK [홍대],0,서울,마포구,서울특별시 마포구 홍익로6길 74 (동교동)
롤링홀,200,서울,마포구,서울특별시 마포구 어울마당로 35 (서교동) 지하 1층
레드빅스페이스,100,서울,마포구,서울특별시 마포구 잔다리로6길 5 (서교동)
레드로드 (구. 걷고싶은거리),0,서울,마포구,서울특별시 마포구 어울마당로 77-1 (서교동)
러스틱재즈,0,서울,마포구,서울특별시 마포구 망원로 74 (망원동)
라이브클럽 협동조합,0,서울,마포구,서울특별시 마포구 어울마당로 61 (서교동)
라이브클럽 빵,0,서울,마포구,서울특별시 마포구 와우산로29길 12(서교동)
라이브앤라우드,70,서울,마포구,서울특별시 마포구 동교로 191(동교동)
라이브 클럽 Amp,0,서울,마포구,서울특별시 마포구 와우산로23길 8(서교동)
라디오가가홀,130,서울,마포구,서울특별시 마포구 양화로11길 54 (서교동)
라드 (L.A.D),0,서울,마포구,서울특별시 마포구 잔다리로3안길 23 (서교동)
디어라이프,0,서울,마포구,서울특별시 마포구 양화로12길 16-9 (서교동)
드림홀,150,서울,마포구,서울특별시 마포구 양화로 64 (서교동)
더 스페이스 디벙크,150,서울,마포구,서울특별시 마포구 성지1길 30 (합정동)
더 리스닝 룸,0,서울,마포구,서울특별시 마포구 동교로23길 98-9 (연남동)
대안공간 루프,0,서울,마포구,서울특별시 마포구 와우산로29나길 20 (서교동)
당신의 여름,50,서울,마포구,서울특별시 마포구 연남로3길 43-6 (연남동)
달콤한음악실,50,서울,마포구,"서울특별시 마포구 양화로6길 57-13 (서교동, 동궁빌리지) 202호"
단밤스튜디오,0,서울,마포구,서울특별시 마포구 월드컵북로5가길 30 (서교동) 1층
다리 소극장,200,서울,마포구,서울특별시 마포구 월드컵북로2길 49(동교동)
뉴미들클래스 [공덕],0,서울,마포구,서울특별시 마포구 마포대로14가길 23 (공덕동)
네스트나다,70,서울,마포구,서울특별시 마포구 와우산로29길 15 (서교동) 2층
난지한강공원,0,서울,마포구,서울특별시 마포구 한강난지로 162 (상암동)
나비카페,0,서울,마포구,서울특별시 마포구 고산2길 6 (노고산동)
긱라이브하우스,50,서울,마포구,서울특별시 마포구 신촌로10길 7(동교동)
글로리펍앤카페,40,서울,마포구,서울특별시 마포구 잔다리로3안길 31 (서교동)
구름아래소극장,200,서울,마포구,서울특별시 마포구 와우산로29가길 15 (서교동)
공상온도,80,서울,마포구,서울특별시 마포구 동교로23길 40 (동교동) 
공덕교회,1000,서울,마포구,서울특별시 마포구 마포대로11길 30 (공덕동) 
공간 비틀즈,50,서울,마포구,서울특별시 마포구 와우산로29길 27 (서교동)
고라니 특공대,0,서울,마포구,서울특별시 마포구 토정로 136(상수동)
갤러리99,0,서울,마포구,서울특별시 마포구 홍익로 5-1 (서교동)
가톨릭청년회관,200,서울,마포구,서울특별시 마포구 월드컵북로2길 49 (동교동)
가온스테이지,100,서울,마포구,서울특별시 마포구 잔다리로 59(서교동)
gaga77page,30,서울,마포구,서울특별시 마포구 와우산로15길 50 (서교동)
We.AN (갤러리위안),0,서울,마포구,서울특별시 마포구 양화로16길 14-16(서교동)
The Nora stage Y(더노라 스테이지와이),100,서울,마포구,서울특별시 마포구 와우산로29바길 19 (서교동) 1층
TOUCH FIVE 전용관,0,서울,마포구,서울특별시 마포구 와우산로 76-1 (서교동)
TJR-15,75,서울,마포구,서울특별시 마포구 토정로 15 (합정동)
SPACE SODA2002,70,서울,마포구,서울특별시 마포구 희우정로5길 29 (합정동)
SJ비보이극장(구. 비보이전용극장),356,서울,마포구,서울특별시 마포구 와우산로 121 (서교동)
SILICA GEL VINYL POP-UP,100,서울,마포구,서울특별시 마포구 와우산로33길 27 (서교동)
OTO PROJECT,30,서울,마포구,서울특별시 마포구 와우산로 120 (창전동) 정일빌딩 지하 1층
NVM,0,서울,마포구,서울특별시 마포구 동교로22길 14(서교동)
NB2,310,서울,마포구,서울특별시 마포구 와우산로 72 (서교동)
MKYU 캠퍼스,0,서울,마포구,서울특별시 마포구 와우산로23길 8(서교동)
MHN STAGE,80,서울,마포구,서울특별시 마포구 와우산로 117 (서교동)
M50클럽,0,서울,마포구,서울특별시 마포구 월드컵북로6길 60 (동교동)
LIG아트홀 [합정],138,서울,마포구,서울특별시 마포구 양화로 19 (합정동)
Kuonechan Object Vinyl Sign Event,100,서울,마포구,서울특별시 마포구 와우산로33길 27 (서교동)
KT&G 상상마당 라이브홀 [마포],226,서울,마포구,서울특별시 마포구 어울마당로 65 (서교동)
K-POP STAGE (구. 윤형빈소극장 [홍대] ),0,서울,마포구,서울특별시 마포구 와우산로21길 29 (서교동)
JDB스퀘어,120,서울,마포구,서울특별시 마포구 잔다리로 31 (서교동)
H-스테이지,100,서울,마포구,서울특별시 마포구 와우산로 97(서교동)
G스페이스홀 (지스페이스홀),73,서울,마포구,서울특별시 마포구 포은로 14 (합정동)
GBB스페이스홀 (구. 임혁필소극장),100,서울,마포구,서울특별시 마포구 포은로 14 (합정동)
DSM 아트홀,0,서울,마포구,서울특별시 마포구 독막로3길 45 (서교동)
DGT 아트센터,60,서울,마포구,서울특별시 마포구 독막로 308 (염리동)
Cafe vave(베이브),0,서울,마포구,서울특별시 마포구 월드컵북로4길 29 (동교동)
CLUB bender(클럽 벤더),0,서울,마포구,서울특별시 마포구 와우산로14길 4 (상수동) 지하1층
CLUB VICTIM,0,서울,마포구,서울특별시 마포구 와우산로 53 (상수동)
CJ아지트 광흥창,250,서울,마포구,서울특별시 마포구 창전로 14 (신정동) CJ아지트
BRST STUDIO,0,서울,마포구,서울특별시 마포구 와우산로18길 30 (서교동)
